OBJECTID,BLD_ID,DEV_ID,DEV_NAME,NGHDNUM,POLICEDIVI,BLDG_POSTC,TOTAL_RESU,MRKT_UNIT,RGI_UNIT,YEAR_BUILT,BUILDING,BUILDFORM,FLR_ABV_GR,BLD_DESC,X,Y,LONGITUDE,LATITUDE
550,5631,111,Humber Acres,8,23,M9P 1T1,47,2,45,1962,Towns & Wkups,Walkup Apartment Building,3,3-Storey  Walk-Up Apt. Bldg.,303451.384,4838967.587,-79.516536,43.6926615
1466,3646,61,Jane John Best,30,12,M9N 2R7,76,0,76,1967,Mid Rise,Mid Rise Apt. Bldg.Elevator,6,6 - Storey Mid Rise Apt. Bldg.,304510.668,4839681.395,-79.503396,43.6990884
1750,3482,76,Finch Birchmount,117,42,M1T 2Z7,6,0,6,1969,Towns & Wkups,Townhouse Back to Back Multifam.,2,2 - Storey Townhouse Back to Back Sixplex,320599.66,4850651.981,-79.303467,43.7976702
1751,3483,76,Finch Birchmount,117,42,M1T 2Z7,6,0,6,1969,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Sixplex,320599.66,4850651.981,-79.303467,43.7976702
1754,3486,76,Finch Birchmount,117,42,M1T 2Z7,6,0,6,1969,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Sixplex,320599.66,4850651.981,-79.303467,43.7976702
1755,3487,76,Finch Birchmount,117,42,M1T 2Z7,6,0,6,1969,Towns & Wkups,Townhouse Back to Back Multifam.,2,2 - Storey Townhouse Back to Back Sixplex,320599.66,4850651.981,-79.303467,43.7976702
1756,3488,76,Finch Birchmount,117,42,M1T 2Z7,6,0,6,1969,Towns & Wkups,Townhouse Back to Back Multifam.,2,2 - Storey Townhouse Back to Back Sixplex,320599.66,4850651.981,-79.303467,43.7976702
1757,3489,76,Finch Birchmount,117,42,M1T 2Z7,7,0,7,1969,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,320599.66,4850651.981,-79.303467,43.7976702
1759,3491,76,Finch Birchmount,117,42,M1T 2Z7,8,0,8,1969,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,320599.66,4850651.981,-79.303467,43.7976702
1760,3492,76,Finch Birchmount,117,42,M1T 2Z7,9,0,9,1969,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,320599.66,4850651.981,-79.303467,43.7976702
1761,3493,76,Finch Birchmount,117,42,M1T 2Z7,10,0,10,1969,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,320599.66,4850651.981,-79.303467,43.7976702
1737,90093,178,Empringham Mews,132,42,M1B 4A2,6,0,6,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,327894.569,4852288.829,-79.212743,43.8122131
1739,90095,178,Empringham Mews,132,42,M1B 4A2,8,0,8,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,327894.569,4852288.829,-79.212743,43.8122131
1745,90101,178,Empringham Mews,132,42,M1B 4A2,9,1,8,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,327894.569,4852288.829,-79.212743,43.8122131
1991,5439,186,Neilson Hall Apartments,132,42,M1B 5N2,126,9,117,1991,Mid Rise,Mid Rise Apt. Bldg.Elevator,5,5 - Storey Mid Rise Apt. Bldg.,327408.037,4851795.432,-79.218812,43.8077869
